angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.32,,"[209, 65, 159, 194]",,0.0,,0.04,,0.01,,0.16,,0.47,,0.0,
0.28,,"[209, 64, 159, 196]",,0.0,,0.04,,0.01,,0.19,,0.48,,0.0,
0.17,,"[212, 73, 153, 198]",,0.0,,0.08,,0.01,,0.24,,0.51,,0.0,
0.17,,"[211, 75, 151, 197]",,0.0,,0.07,,0.01,,0.31,,0.45,,0.0,
0.26,,"[208, 75, 152, 200]",,0.0,,0.05,,0.01,,0.23,,0.45,,0.0,
0.16,,"[209, 75, 151, 198]",,0.0,,0.08,,0.01,,0.25,,0.5,,0.0,
0.19,,"[208, 76, 152, 198]",,0.0,,0.07,,0.01,,0.26,,0.47,,0.0,
0.19,,"[209, 76, 152, 198]",,0.0,,0.07,,0.01,,0.28,,0.45,,0.0,
0.19,,"[209, 76, 152, 198]",,0.0,,0.07,,0.01,,0.29,,0.45,,0.0,
0.26,,"[210, 73, 150, 200]",,0.0,,0.05,,0.01,,0.17,,0.51,,0.0,
0.26,,"[210, 73, 150, 200]",,0.0,,0.05,,0.01,,0.17,,0.51,,0.0,
0.27,,"[210, 75, 151, 201]",,0.0,,0.07,,0.01,,0.25,,0.39,,0.0,
0.23,,"[213, 80, 152, 197]",,0.0,,0.16,,0.01,,0.22,,0.38,,0.0,
0.23,,"[213, 80, 152, 197]",,0.0,,0.16,,0.01,,0.22,,0.38,,0.0,
0.28,,"[209, 74, 154, 206]",,0.0,,0.06,,0.01,,0.31,,0.33,,0.0,
0.31,,"[209, 69, 155, 205]",,0.0,,0.03,,0.02,,0.12,,0.52,,0.0,
0.31,,"[209, 69, 155, 205]",,0.0,,0.03,,0.02,,0.12,,0.52,,0.0,
0.44,,"[208, 68, 158, 207]",,0.0,,0.03,,0.03,,0.09,,0.41,,0.0,
0.5,,"[210, 73, 153, 205]",,0.0,,0.04,,0.03,,0.21,,0.22,,0.01,
0.51,,"[210, 73, 153, 205]",,0.0,,0.04,,0.02,,0.2,,0.21,,0.01,
0.51,,"[215, 68, 161, 216]",,0.0,,0.02,,0.01,,0.19,,0.27,,0.0,
0.43,,"[209, 70, 166, 220]",,0.0,,0.03,,0.03,,0.28,,0.23,,0.0,
0.42,,"[209, 70, 166, 220]",,0.0,,0.03,,0.03,,0.29,,0.23,,0.0,
0.35,,"[210, 72, 163, 218]",,0.0,,0.04,,0.03,,0.31,,0.26,,0.01,
0.52,,"[208, 74, 165, 212]",,0.0,,0.03,,0.01,,0.21,,0.22,,0.01,
0.52,,"[208, 74, 165, 212]",,0.0,,0.03,,0.01,,0.21,,0.22,,0.01,
0.5,,"[208, 75, 164, 212]",,0.0,,0.04,,0.02,,0.21,,0.24,,0.01,
0.54,,"[211, 68, 165, 221]",,0.0,,0.02,,0.01,,0.23,,0.19,,0.0,
0.57,,"[212, 67, 164, 220]",,0.0,,0.02,,0.01,,0.19,,0.21,,0.0,
0.56,,"[212, 67, 164, 220]",,0.0,,0.02,,0.01,,0.19,,0.21,,0.0,
0.67,,"[217, 70, 158, 214]",,0.0,,0.03,,0.01,,0.1,,0.19,,0.0,
0.64,,"[216, 71, 160, 215]",,0.0,,0.03,,0.01,,0.14,,0.17,,0.0,
0.61,,"[216, 67, 159, 217]",,0.0,,0.03,,0.01,,0.13,,0.22,,0.0,
0.49,,"[219, 63, 159, 220]",,0.0,,0.03,,0.01,,0.15,,0.33,,0.0,
0.49,,"[219, 64, 159, 219]",,0.0,,0.04,,0.01,,0.14,,0.32,,0.0,
0.45,,"[220, 61, 159, 221]",,0.0,,0.03,,0.01,,0.13,,0.37,,0.0,
0.54,,"[218, 55, 161, 226]",,0.0,,0.02,,0.03,,0.16,,0.24,,0.01,
